apstar_id,file
apogee.apo25m.stars.000+08.2M17125087-2403459,apogee_apo25m_stars_000+08_2M17125087-2403459.fits
apogee.apo25m.stars.000+12.2M17023928-2129262,apogee_apo25m_stars_000+12_2M17023928-2129262.fits
apogee.apo25m.stars.000+16.2M16455992-1945311,apogee_apo25m_stars_000+16_2M16455992-1945311.fits
apogee.apo25m.stars.000+30.2M15583523-1044295,apogee_apo25m_stars_000+30_2M15583523-1044295.fits
apogee.apo25m.stars.000+30.2M15594124-1047565,apogee_apo25m_stars_000+30_2M15594124-1047565.fits
apogee.apo25m.stars.000+30.2M16015093-1053506,apogee_apo25m_stars_000+30_2M16015093-1053506.fits
apogee.apo25m.stars.000+30.2M16024746-1037567,apogee_apo25m_stars_000+30_2M16024746-1037567.fits
apogee.apo25m.stars.000+30.2M16055250-1000033,apogee_apo25m_stars_000+30_2M16055250-1000033.fits
apogee.apo25m.stars.000+45.2M15130498-0018556,apogee_apo25m_stars_000+45_2M15130498-0018556.fits
apogee.apo25m.stars.000+45.2M15130930-0124056,apogee_apo25m_stars_000+45_2M15130930-0124056.fits
apogee.apo25m.stars.000+45.2M15154939-0011215,apogee_apo25m_stars_000+45_2M15154939-0011215.fits
apogee.apo25m.stars.000+45.2M15173444-0041344,apogee_apo25m_stars_000+45_2M15173444-0041344.fits
apogee.apo25m.stars.000+45.2M15174199-0049255,apogee_apo25m_stars_000+45_2M15174199-0049255.fits
apogee.apo25m.stars.000+45.2M15174577-0102443,apogee_apo25m_stars_000+45_2M15174577-0102443.fits
apogee.apo25m.stars.000+45.2M15185169-0009502,apogee_apo25m_stars_000+45_2M15185169-0009502.fits
apogee.apo25m.stars.000+60.2M14280006+0851041,apogee_apo25m_stars_000+60_2M14280006+0851041.fits
apogee.apo25m.stars.000+60.2M14295448+0736464,apogee_apo25m_stars_000+60_2M14295448+0736464.fits
apogee.apo25m.stars.000+60.2M14302956+0900559,apogee_apo25m_stars_000+60_2M14302956+0900559.fits
apogee.apo25m.stars.000+60.2M14313225+0921535,apogee_apo25m_stars_000+60_2M14313225+0921535.fits
apogee.apo25m.stars.000+60.2M14315592+0909538,apogee_apo25m_stars_000+60_2M14315592+0909538.fits
apogee.apo25m.stars.000+60.2M14324650+0937465,apogee_apo25m_stars_000+60_2M14324650+0937465.fits
apogee.apo25m.stars.000+60.2M14341008+0738302,apogee_apo25m_stars_000+60_2M14341008+0738302.fits
apogee.apo25m.stars.000+60.2M14343585+0743077,apogee_apo25m_stars_000+60_2M14343585+0743077.fits
apogee.apo25m.stars.000+60.2M14344629+0846092,apogee_apo25m_stars_000+60_2M14344629+0846092.fits
apogee.apo25m.stars.000+75.2M13391061+1912304,apogee_apo25m_stars_000+75_2M13391061+1912304.fits
apogee.apo25m.stars.000+75.2M13404078+1912005,apogee_apo25m_stars_000+75_2M13404078+1912005.fits
apogee.apo25m.stars.000+75.2M13433083+1833274,apogee_apo25m_stars_000+75_2M13433083+1833274.fits
apogee.apo25m.stars.000+75.2M13451504+1835301,apogee_apo25m_stars_000+75_2M13451504+1835301.fits
apogee.apo25m.stars.000+75.2M13452854+1936413,apogee_apo25m_stars_000+75_2M13452854+1936413.fits
apogee.apo25m.stars.000+75.2M13453115+1942175,apogee_apo25m_stars_000+75_2M13453115+1942175.fits
apogee.apo25m.stars.000+75.2M13471964+1837482,apogee_apo25m_stars_000+75_2M13471964+1837482.fits
apogee.apo25m.stars.000+75.2M13474743+1932585,apogee_apo25m_stars_000+75_2M13474743+1932585.fits
apogee.apo25m.stars.K2_C11_003+05_btx.2M17304958-2350297,apogee_apo25m_stars_K2_C11_003+05_btx_2M17304958-2350297.fits
apogee.apo25m.stars.002+53_MGA.2M14545501+0600464,apogee_apo25m_stars_002+53_MGA_2M14545501+0600464.fits
apogee.apo25m.stars.002+53_MGA.2M14552459+0412320,apogee_apo25m_stars_002+53_MGA_2M14552459+0412320.fits
apogee.apo25m.stars.002+53_MGA.2M14570305+0526591,apogee_apo25m_stars_002+53_MGA_2M14570305+0526591.fits
apogee.apo25m.stars.002+53_MGA.2M14572976+0510112,apogee_apo25m_stars_002+53_MGA_2M14572976+0510112.fits
apogee.apo25m.stars.002+53_MGA.2M14580669+0449074,apogee_apo25m_stars_002+53_MGA_2M14580669+0449074.fits
apogee.apo25m.stars.002+53_MGA.2M14595907+0425046,apogee_apo25m_stars_002+53_MGA_2M14595907+0425046.fits
apogee.apo25m.stars.002+53_MGA.2M15005475+0420079,apogee_apo25m_stars_002+53_MGA_2M15005475+0420079.fits
apogee.apo25m.stars.002+53_MGA.2M15021003+0419493,apogee_apo25m_stars_002+53_MGA_2M15021003+0419493.fits
apogee.apo25m.stars.002+53_MGA.2M15024737+0422101,apogee_apo25m_stars_002+53_MGA_2M15024737+0422101.fits
apogee.apo25m.stars.049+62.2M14524668+3112198,apogee_apo25m_stars_049+62_2M14524668+3112198.fits
apogee.apo25m.stars.050+63_MGA.2M14524773+3027441,apogee_apo25m_stars_050+63_MGA_2M14524773+3027441.fits
apogee.apo25m.stars.049+62.2M14561946+3033353,apogee_apo25m_stars_049+62_2M14561946+3033353.fits
apogee.apo25m.stars.000+60.2M14341008+0738302,apogee_apo25m_stars_000+60_2M14341008+0738302.fits
apogee.apo25m.stars.000+60.2M14343585+0743077,apogee_apo25m_stars_000+60_2M14343585+0743077.fits
apogee.apo25m.stars.000+60.2M14344629+0846092,apogee_apo25m_stars_000+60_2M14344629+0846092.fits
