apstar_id,target_id,alt_id,file,apogee_id,telescope,location_id,field,ra,dec,glon,glat,apogee_target1,apogee_target2,apogee2_target1,apogee2_target2,apogee2_target3,apogee2_target4,min_h,max_h,min_jk,max_jk,survey,extratarg,nvisits,snr,starflag,andflag,vhelio_avg,vscatter,verr,rv_teff,rv_logg,rv_feh,rv_alpha,rv_carb,rv_ccfwhm,rv_autofwhm,rv_flag,n_components,gaiaedr3_source_id,gaiaedr3_parallax,gaiaedr3_parallax_error,gaiaedr3_pmra,gaiaedr3_pmra_error,gaiaedr3_pmdec,gaiaedr3_pmdec_error,gaiaedr3_phot_g_mean_mag,gaiaedr3_phot_bp_mean_mag,gaiaedr3_phot_rp_mean_mag,gaiaedr3_dr2_radial_velocity,gaiaedr3_dr2_radial_velocity_error,gaiaedr3_r_med_geo,gaiaedr3_r_lo_geo,gaiaedr3_r_hi_geo,gaiaedr3_r_med_photogeo,gaiaedr3_r_lo_photogeo,gaiaedr3_r_hi_photogeo,htmID,apogee_id1,target_id1,apstar_id1,aspcap_id,teff,teff_err,teff_flag,teff_spec,logg,logg_err,logg_flag,logg_spec,vmicro,vmacro,vsini,m_h,m_h_err,m_h_flag,alpha_m,alpha_m_err,alpha_m_flag,aspcap_chi2,aspcap_grid,aspcapflag,frac_badpix,frac_lowsnr,frac_sigsky,fparam_teff,fparam_logg,fparam_logvmicro,fparam_m_h,fparam_c_m,fparam_n_m,fparam_alpha_m,param_c_m,param_c_m_flag,param_n_m,param_n_m_flag,c_fe,c_fe_err,c_fe_flag,ci_fe,ci_fe_err,ci_fe_flag,n_fe,n_fe_err,n_fe_flag,o_fe,o_fe_err,o_fe_flag,na_fe,na_fe_err,na_fe_flag,mg_fe,mg_fe_err,mg_fe_flag,al_fe,al_fe_err,al_fe_flag,si_fe,si_fe_err,si_fe_flag,p_fe,p_fe_err,p_fe_flag,s_fe,s_fe_err,s_fe_flag,k_fe,k_fe_err,k_fe_flag,ca_fe,ca_fe_err,ca_fe_flag,ti_fe,ti_fe_err,ti_fe_flag,tiii_fe,tiii_fe_err,tiii_fe_flag,v_fe,v_fe_err,v_fe_flag,cr_fe,cr_fe_err,cr_fe_flag,mn_fe,mn_fe_err,mn_fe_flag,fe_h,fe_h_err,fe_h_flag,co_fe,co_fe_err,co_fe_flag,ni_fe,ni_fe_err,ni_fe_flag,cu_fe,cu_fe_err,cu_fe_flag,ce_fe,ce_fe_err,ce_fe_flag,felem_c_m,felem_c_m_err,felem_ci_m,felem_ci_m_err,felem_n_m,felem_n_m_err,felem_o_m,felem_o_m_err,felem_na_h,felem_na_h_err,felem_mg_m,felem_mg_m_err,felem_al_h,felem_al_h_err,felem_si_m,felem_si_m_err,felem_p_m,felem_p_m_err,felem_s_m,felem_s_m_err,felem_k_h,felem_k_h_err,felem_ca_m,felem_ca_m_err,felem_ti_m,felem_ti_m_err,felem_tiii_m,felem_tiii_m_err,felem_v_h,felem_v_h_err,felem_cr_h,felem_cr_h_err,felem_mn_h,felem_mn_h_err,felem_fe_h,felem_fe_h_err,felem_co_h,felem_co_h_err,felem_ni_h,felem_ni_h_err,felem_cu_h,felem_cu_h_err,felem_ge_h,felem_ge_h_err,felem_rb_h,felem_rb_h_err,felem_ce_h,felem_ce_h_err,felem_nd_h,felem_nd_h_err,felem_yb_h,felem_yb_h_err
apogee.apo25m.stars.004+00.2M17533579-2522023,apo25m.004+00.2M17533579-2522023,none,apStar-dr17-2M17533579-2522023.fits,2M17533579-2522023,apo25m,4104,004+00,268.399139,-25.367313,3.97307301181036,0.312806908422875,-2147483584,-2147483136,0,0,0,0,-9999.99,9999.99,-9999.99,9999.99,apogee,5,3,240.4911,0,0,-42.78851,0.4442139,0.07391423,6450.855,4.240919,-0.803301,0,0,35.12834,16.96486,0,1,4067393853935312384,1.692908,0.0430694,8.328392,0.037015,-1.237021,0.0252302,11.6997,12.0416,11.1795,-41.968,1.21501,572.7239,559.6666,585.3312,575.9014,560.9698,590.1525,11703129076353,2M17533579-2522023,apo25m.004+00.2M17533579-2522023,apogee.apo25m.stars.004+00.2M17533579-2522023,apogee.apo25m.synspec.004+00.2M17533579-2522023,6268.7,45.92084,0,6405.7,3.794008,0.02674425,0,3.6102,1.825576,0,18.42468,-0.23148,0.005744911,32,0.0177223,0.01056182,0,2.643078,Fd_a,0,0,0.02528613,0.02528613,6405.7,3.6102,0.2614,-0.23148,0.073056,0.097686,0.014077,0.073056,0,0.097686,32,0.01414499,0.06628092,0,0.1235,0.03958559,0,-0.28418,0.783258,288,0.2153729,0.1493446,0,-9999,-9999,1,-0.05409151,0.01307938,0,-0.03583401,0.01393287,0,0.06444928,0.01388261,0,-9999,0.1573836,2,0.0834825,0.04809955,0,0.2031529,0.05001409,0,-0.002719015,0.01438765,0,-9999,-9999,1,-9999,-9999,64,-0.3443394,0.1986031,0,-0.2897517,0.08993573,0,-0.006847501,0.01520621,0,-0.21879,0.006139785,0,-9999,-9999,64,0.03855,0.01282015,0,-9999,0.1125325,2,-9999,-9999,2,0.026835,0.01069299,0.13619,0.009806426,-0.27149,0.7832369,0.22337,0.004244526,-2.4993,0.00581455,-0.10869,0.00523431,-0.26705,0.002929676,0.0039963,0.004883748,0.040932,0.002449224,0.12324,0.004536959,-0.11046,0.002673836,0.079255,0.004663582,-0.74436,0.007352619,-0.27904,0.005795171,-0.52826,0.003378609,-0.346,0.003062303,-0.37832,0.003118493,-0.21879,0.002850597,-1.1462,0.004346378,-0.18259,0.002791057,-0.43998,0.003227073,-9999,-9999,0.021153,0.002477216,0.067217,0.002412322,-9999,-9999,0.067217,0.002412322
apogee.apo25m.stars.004+00.2M17562204-2515463,apo25m.004+00.2M17562204-2515463,none,apStar-dr17-2M17562204-2515463.fits,2M17562204-2515463,apo25m,4104,004+00,269.091845,-25.262884,4.37943144027392,-0.174928904570132,-2147483584,-2147483136,0,0,0,0,-9999.99,9999.99,-9999.99,9999.99,apogee,5,3,782.8169,0,0,-7.07937,0.1696926,0.05117477,6509.951,4.118796,-0.7981065,0,0,33.50013,15.72384,0,1,4067362792731072768,5.636922,0.0432562,-10.34609,0.0463637,-31.82281,0.0321894,8.80701,8.99058,8.47565,-10.7892,0.462801,176.3911,175.0056,177.6873,176.0828,174.7173,177.8058,11703213997289,2M17562204-2515463,apo25m.004+00.2M17562204-2515463,apogee.apo25m.stars.004+00.2M17562204-2515463,apogee.apo25m.synspec.004+00.2M17562204-2515463,6655.806,54.69662,0,6867.7,3.976697,0.02339995,0,3.9673,1.847524,0,16.21063,-0.017776,0.006108191,32,-0.2265947,0.01070349,0,2.585294,Fd_b,0,0,0.0009315943,0.0009315943,6867.7,3.9673,0.26659,-0.017776,-0.16046,0.43088,-0.23024,-0.16046,0,0.43088,32,-0.126651,0.07585953,0,-0.079678,0.03703567,0,0.660779,0.1008529,32,0.008104801,0.2259704,0,-0.3138514,0.2229286,0,-0.4009225,0.01233727,0,-0.265609,0.01202913,0,-0.130998,0.0135185,0,-9999,0.1730212,2,-0.007087498,0.04021569,0,-0.6682921,0.05197003,0,-0.0668112,0.01290517,0,0.446738,0.1342518,0,-9999,-9999,64,0.03062155,0.231736,0,0.1206933,0.08596265,0,0.00969752,0.01076794,0,-0.012415,0.004637278,0,-9999,-9999,64,0.09029,0.009906881,0,-9999,0.07706888,2,-9999,-9999,2,-0.12129,0.009798724,-0.074317,0.009445263,0.66614,0.1006678,0.0087729,0.004453201,-0.40473,0.003547534,-0.46285,0.005888718,-0.29045,0.003335116,-0.19878,0.005040437,-0.31167,0.003374463,0.025341,0.004408741,-0.77553,0.004188556,0.0078338,0.004455783,0.49903,0.003193274,-0.11501,0.004798958,0.053076,0.002704995,0.27082,0.002352275,-0.1554,0.003080292,-0.012415,0.002819858,0.36363,0.002215694,0.075525,0.00266599,-0.85227,0.004313236,-9999,-9999,0.032508,0.002740967,0.14217,0.002553175,-9999,-9999,0.14217,0.002553175
apogee.apo25m.stars.004+02.2M17465143-2546455,apo25m.004+02.2M17465143-2546455,none,apStar-dr17-2M17465143-2546455.fits,2M17465143-2546455,apo25m,4364,004+02,266.714314,-25.779333,2.83990288961334,1.40626979803337,-2147483584,-2147483136,0,0,0,0,-9999.99,9999.99,-9999.99,9999.99,apogee,5,2,367.4796,0,0,-13.12193,0.07105989,0.03159257,6275.342,4.67979,-0.2351418,0,0,25.61183,18.70832,0,1,4067099214860827648,6.639263,0.0158845,-0.9319823,0.0206477,-38.19005,0.0119694,9.67732,9.95089,9.23923,-13.2344,0.668895,149.8709,149.49,150.1655,149.8206,149.4283,150.2454,11702176264215,2M17465143-2546455,apo25m.004+02.2M17465143-2546455,apogee.apo25m.stars.004+02.2M17465143-2546455,apogee.apo25m.synspec.004+02.2M17465143-2546455,6211.879,32.91429,0,6381.1,4.379537,0.01733942,0,4.4764,0.9018348,0,8.579659,0.25846,0.003590711,0,-0.0627627,0.006885229,0,3.685021,Fd_b,0,0,0.01317541,0.01277615,6381.1,4.4764,-0.044873,0.25846,-0.14939,0.42002,-0.066408,-0.14939,0,0.42002,32,-0.18429,0.03669253,0,-0.13687,0.02683022,0,0.3788,0.03452815,32,-0.03135112,0.08907919,0,-1.000776,0.1096694,0,-0.1511115,0.01003253,0,0.03458598,0.01151564,0,0.04062697,0.01089949,0,-9999,0.1009146,2,-0.07920253,0.03355927,0,-0.05595711,0.03546387,0,-0.01901102,0.008954043,0,-0.289141,0.0728949,0,-9999,-9999,64,0.07428056,0.1231939,0,-0.06831171,0.04826231,0,0.06198251,0.007657919,0,0.25545,0.003870396,0,-9999,-9999,64,0.01007,0.007634395,0,-9999,0.03866995,2,-9999,-9999,2,-0.1873,0.007738928,-0.13988,0.007430478,0.37579,0.03434094,-0.039054,0.002715621,-0.82379,0.002497459,-0.22141,0.003013221,0.27761,0.001513275,-0.035526,0.002710037,0.048018,0.001680655,-0.055145,0.002740748,0.10467,0.001636001,0.047263,0.00257938,-0.24522,0.003055847,-0.49052,0.003524202,0.3646,0.001459657,0.34968,0.001468503,0.16475,0.001590314,0.25545,0.001527711,0.16732,0.001588427,0.26317,0.001522662,-0.027553,0.00174158,-9999,-9999,0.3186,0.001487414,0.60824,0.001337946,-9999,-9999,0.60824,0.001337946
apogee.apo25m.stars.011+47_btx.2M15263126+0654510,apo25m.011+47_btx.2M15263126+0654510,none,apStar-dr17-2M15263126+0654510.fits,2M15263126+0654510,apo25m,5750,011+47_btx,231.630272,6.914194,11.3591159571203,48.0503596662578,0,0,-2147399648,0,0,0,7,12.2,0.3,9999.99,apogee2-manga,0,6,1240.11,0,0,-86.24965,0.08668986,0.02639768,6083.924,4.366146,-0.6041573,0,0,21.87006,18.21378,0,1,1162785949270080384,6.913933,0.0173243,-84.73686,0.016685,-1.937681,0.0187708,9.50501,9.80457,9.03314,-86.7446,0.732755,143.9979,143.6834,144.3537,144.0011,143.637,144.3578,14441111115184,2M15263126+0654510,apo25m.011+47_btx.2M15263126+0654510,apogee.apo25m.stars.011+47_btx.2M15263126+0654510,apogee.apo25m.synspec.011+47_btx.2M15263126+0654510,5828.401,34.30472,0,5891.8,4.000681,0.02722964,0,4.0099,0.9542935,0,3.065067,-0.33479,0.006733438,0,0.0437203,0.009141323,0,1.440589,Fd_b,0,0,0.0003992547,0.0003992547,5891.8,4.0099,-0.020318,-0.33479,0.0032367,0.067857,0.040075,0.0032367,0,0.067857,32,-0.01991698,0.04831671,0,0.007058918,0.03809172,0,-0.112,0.07201277,288,0.1152129,0.08113915,0,0.06570363,0.2008878,0,0.06618983,0.01381837,0,0.191786,0.01523118,0,0.108486,0.0140769,0,-9999,0.1235532,2,0.06551251,0.05262928,0,0.1546129,0.04312414,0,0.03449601,0.01500143,0,-0.225421,0.08248954,0,-9999,-9999,64,0.02257055,0.1443855,0,-0.09137172,0.07859883,0,-0.06970748,0.01818694,0,-0.33616,0.007275592,0,-9999,-9999,64,0.0158,0.01452334,0,-9999,0.1269582,2,-9999,-9999,2,-0.021287,0.01099727,0.0056889,0.0107,-0.11337,0.07169728,0.10915,0.003050639,-0.34892,0.001780983,-0.0024687,0.003253921,-0.1568,0.001600188,0.033973,0.003185122,-0.26781,0.001697263,0.09121,0.003081152,-0.27637,0.001705491,0.10241,0.003061944,-0.17986,0.003588454,-0.14718,0.003523209,-0.27872,0.001707776,-0.26499,0.001694609,-0.55855,0.002020916,-0.33616,0.001767145,-0.1182,0.001567642,-0.32271,0.001752769,-0.81572,0.002353699,-9999,-9999,-0.1203,0.001569395,-0.070758,0.001529314,-9999,-9999,-0.070758,0.001529314
apogee.apo25m.stars.011+47_btx.2M15291781+0753397,apo25m.011+47_btx.2M15291781+0753397,none,apStar-dr17-2M15291781+0753397.fits,2M15291781+0753397,apo25m,5750,011+47_btx,232.324228,7.894382,13.1486635592386,48.0049104389691,0,0,-2147399648,0,0,0,7,12.2,0.3,9999.99,apogee2-manga,0,6,398.9329,0,0,23.95006,0.07377998,0.0291151,5227.479,3.953769,0.1671515,0,0,22.70161,18.01492,0,1,1162980008777192576,1.835097,0.017695,2.263906,0.0188354,-13.66979,0.0170621,12.0476,12.5049,11.4331,23.9492,0.399504,537.47,532.8399,542.4829,537.0988,533.705,541.0056,14443839909751,2M15291781+0753397,apo25m.011+47_btx.2M15291781+0753397,apogee.apo25m.stars.011+47_btx.2M15291781+0753397,apogee.apo25m.synspec.011+47_btx.2M15291781+0753397,5113.054,13.34916,0,5125.7,3.889721,0.01395403,0,3.9112,0.9200512,0,6.006894,0.32762,0.004181467,0,-0.01009,0.003774592,0,6.959371,GKd_b,0,0,0.01424009,0.01424009,5125.7,3.9112,-0.036188,0.32762,-0.034027,0.26508,-0.036765,-0.034027,0,0.26508,0,-0.036897,0.01243228,0,-0.11303,0.01957544,0,0.26088,0.01626528,0,0.01715702,0.01555539,0,0.211802,0.0465949,0,0.00138101,0.009759485,0,0.05794102,0.01306798,0,-0.006836385,0.009747866,0,-9999,0.04352732,2,-0.076258,0.0339286,0,-0.037361,0.02030713,0,0.016271,0.007707033,0,0.04271418,0.02626455,0,-0.214781,0.1251514,0,0.05915201,0.04339373,0,0.09348398,0.02396319,0,0.02953199,0.007757467,0,0.31616,0.004426386,0,0.03041998,0.141739,0,0.03025252,0.007607348,0,-9999,-9999,259,-0.16345,0.05355353,2,-0.048357,0.001411984,-0.12449,0.001662107,0.24942,0.001853726,-0.050966,0.001184145,0.50856,0.001096312,-0.073602,0.001170171,0.51542,0.001096038,-0.012897,0.001207518,0.51474,0.001096038,-0.1115,0.001156417,0.20904,0.001111665,0.022816,0.001226907,0.031681,0.001231056,-0.18449,0.001173627,0.33035,0.001105079,0.40723,0.001099363,0.22879,0.001110766,0.31616,0.00110621,0.29851,0.00110752,0.30302,0.001107158,0.99993,0.001077961,-9999,-9999,0.20837,0.00111171,0.47223,0.001097224,-9999,-9999,0.47223,0.001097224
apogee.apo25m.stars.011+55_MGA.2M14595931+0928197,apo25m.011+55_MGA.2M14595931+0928197,none,apStar-dr17-2M14595931+0928197.fits,2M14595931+0928197,apo25m,2732,011+55_MGA,224.997125,9.472154,8.86124534324675,54.923284092554,0,0,-2147383264,0,0,0,7,11.5,0.3,9999.99,manga-apogee2,0,3,260.6351,0,0,-30.19451,0.1055214,0.02993593,5931.383,4.362955,-0.2522643,0,0,21.41973,18.09923,0,1,1161926612213507712,2.20703,0.0160182,-16.4016,0.0180947,6.063126,0.0163413,11.4372,11.8103,10.8958,-29.7359,0.763476,444.9482,441.6691,447.9966,444.209,441.2356,447.6023,15200710551984,2M14595931+0928197,apo25m.011+55_MGA.2M14595931+0928197,apogee.apo25m.stars.011+55_MGA.2M14595931+0928197,apogee.apo25m.synspec.011+55_MGA.2M14595931+0928197,5450.222,13.88944,0,5474.3,3.781237,0.02399094,33554432,3.7824,1.150578,0,3.199632,-0.13526,0.005581928,0,0.060041,0.006477281,0,4.342402,GKd_c,0,0.005988821,0.03633218,0.03047644,5474.3,3.7824,0.060916,-0.13526,-0.0070296,0.059848,0.033366,-0.0070296,0,0.059848,0,-0.001265302,0.02028436,0,-0.01245999,0.02811275,0,0.034306,0.0241871,0,0.174503,0.04141771,0,-0.09896801,0.08862898,0,0.048692,0.01141213,0,0.06388199,0.01754371,0,0.0479386,0.01419865,0,-9999,0.1701448,2,0.0345311,0.03268921,0,0.043469,0.03749785,0,0.07501701,0.01425617,0,-0.07521982,0.02710645,0,0.313199,0.1165528,0,-0.07366802,0.1361212,0,0.050624,0.05216191,0,-0.01513802,0.01480568,0,-0.13739,0.006160806,0,0.1787538,0.0982727,0,0.0379625,0.01175126,0,-9999,0.006303463,2,-1.87167,0.1358136,2,-0.0033953,0.006920766,-0.01459,0.007053368,0.032176,0.009259212,0.11571,0.002606933,-0.25576,0.001525844,-0.016961,0.002799518,0.067811,0.001355138,0.051208,0.002698314,0.23027,0.001291317,0.0086191,0.002761811,-0.16368,0.0014717,0.090892,0.002640682,-0.076923,0.002883921,0.35282,0.00230493,-0.25602,0.001526008,-0.08918,0.00143021,-0.26943,0.001534666,-0.13739,0.001456777,-0.0067062,0.00138856,-0.14282,0.001459829,0.6073,0.001196161,-9999,-9999,-1.9534,0.003898333,-0.17846,0.001480169,-9999,-9999,-0.17846,0.001480169
apogee.apo25m.stars.011+55_MGA.2M15002011+1039071,apo25m.011+55_MGA.2M15002011+1039071,none,apStar-dr17-2M15002011+1039071.fits,2M15002011+1039071,apo25m,2732,011+55_MGA,225.083828,10.651997,10.6631696594095,55.5087045366115,0,0,-2147483584,-2147483136,0,0,-9999.99,9999.99,-9999.99,9999.99,manga-apogee2,5,3,362.8666,0,0,-2.583224,0.0586754,0.04926757,6217.547,4.437017,-0.8165681,0,0,31.01729,17.64468,0,1,1180078518395763712,3.225693,0.0260718,4.717927,0.0234755,-10.64093,0.0239126,10.5696,10.7961,10.1922,-6.26667,2.86669,307.0055,304.8513,309.7579,307.3758,304.9686,309.5439,15200898440181,2M15002011+1039071,apo25m.011+55_MGA.2M15002011+1039071,apogee.apo25m.stars.011+55_MGA.2M15002011+1039071,apogee.apo25m.synspec.011+55_MGA.2M15002011+1039071,6340.854,45.77261,0,6496.3,4.136518,0.02477012,0,4.0807,1.68535,0,15.19497,-0.13752,0.005276741,32,0.0062924,0.01007216,0,1.977698,Fd_b,0,0.002395528,0.03220655,0.02981102,6496.3,4.0807,0.22669,-0.13752,0.014035,0.13555,0.0026471,0.014035,0,0.13555,32,0.009066999,0.06367966,0,0.008276001,0.03724255,0,-0.47356,1.345373,288,0.1675529,0.1527484,0,-1.622686,0.2139763,0,-0.03120449,0.01238871,0,0.03924601,0.01315518,0,0.097552,0.0132644,0,-9999,0.1520923,2,0.0588755,0.04437789,0,0.1322759,0.0483786,0,-0.029805,0.01319488,0,0.02135301,0.1113645,0,-9999,-9999,64,-0.1154594,0.1933926,0,-0.3039017,0.08299028,0,-0.07436749,0.01312858,0,-0.13435,0.005499701,0,-9999,-9999,64,0.041151,0.01144864,0,-9999,0.09301072,2,-9999,-9999,2,0.012237,0.009310531,0.011446,0.009316759,-0.47039,1.345362,0.16603,0.003541327,-1.8355,0.005799051,-0.095323,0.004157403,-0.10753,0.002292444,0.027579,0.003858368,0.19426,0.001922758,0.089113,0.003715777,-0.096897,0.002277916,0.042649,0.003822826,0.071454,0.003756062,0.10932,0.003669741,-0.21494,0.002443461,-0.27571,0.00252919,-0.3614,0.002653432,-0.13435,0.002329657,0.48038,0.001659398,-0.095549,0.002276071,-0.64038,0.003051754,-9999,-9999,-0.57838,0.002965198,0.14437,0.001978055,-9999,-9999,0.14437,0.001978055
apogee.apo25m.stars.011+55_MGA.2M15003226+0938146,apo25m.011+55_MGA.2M15003226+0938146,none,apStar-dr17-2M15003226+0938146.fits,2M15003226+0938146,apo25m,2732,011+55_MGA,225.13443,9.637391,9.23151515941112,54.9048794883437,0,0,-2147483584,-2147483136,0,0,-9999.99,9999.99,-9999.99,9999.99,manga-apogee2,5,3,522.1995,0,0,-23.63821,0.1522692,0.05707447,6089.139,4.527019,-0.9252031,0,0,39.5296,18.6074,0,1,1167935340179938176,4.986014,0.0451397,-24.90527,0.0476376,12.3472,0.0390353,9.68157,9.89781,9.31272,-23.5862,1.71559,199.952,198.1154,201.4561,199.3129,197.5929,200.791,15200756708934,2M15003226+0938146,apo25m.011+55_MGA.2M15003226+0938146,apogee.apo25m.stars.011+55_MGA.2M15003226+0938146,apogee.apo25m.synspec.011+55_MGA.2M15003226+0938146,6404.938,46.02061,0,6576.3,4.082257,0.02339302,0,4.0814,2.027636,0,20.87853,-0.059722,0.005508539,32,-0.0140127,0.009771406,0,1.667708,Fd_c,0,0.01117913,0.02448762,0.01317541,6576.3,4.0814,0.30699,-0.059722,-0.018285,0.41433,-0.017658,-0.018285,0,0.41433,32,-0.051713,0.062318,0,0.007193901,0.03579212,0,0.337119,0.2114624,32,0.1029369,0.1580678,0,-0.3986354,0.1995303,0,-0.05161249,0.01216539,0,0.055364,0.01265719,0,0.0746105,0.01311295,0,-9999,0.1495762,258,0.0343495,0.04188498,0,0.0378939,0.04745881,0,-0.07066621,0.01262865,0,-0.144256,0.1109707,0,-9999,-9999,64,-0.02745744,0.1917654,0,-1.128671,0.07845514,0,0.02656351,0.01170468,0,-0.059471,0.005050141,0,-9999,-9999,64,-0.016932,0.01051365,0,-9999,0.07982477,2,-9999,-9999,2,-0.051462,0.009671091,0.0074449,0.009180087,0.33737,0.2113906,0.098495,0.003799342,-0.53657,0.003112009,-0.11865,0.004363943,-0.016533,0.002345187,0.0017185,0.004041534,0.91256,0.00156595,0.061668,0.003889987,-0.1164,0.002486664,-0.0011312,0.004048951,-0.097074,0.004304997,0.56581,0.002730165,-0.052059,0.002393888,-1.0256,0.003725587,-0.18559,0.002590077,-0.059471,0.002404329,-1.0955,0.003816805,-0.078753,0.002431831,-0.36781,0.00286318,-9999,-9999,-0.2988,0.002759112,0.29256,0.001961173,-9999,-9999,0.29256,0.001961173
apogee.apo25m.stars.008+53_MGA.2M15014922+0859222,apo25m.008+53_MGA.2M15014922+0859222,none,apStar-dr17-2M15014922+0859222.fits,2M15014922+0859222,apo25m,2724,008+53_MGA,225.455105,8.989525,8.61984628656035,54.2769686506548,0,0,-2147383264,0,0,0,7,11.5,0.3,9999.99,manga-apogee2,0,2,247.9736,0,0,-100.2446,0.1835586,0.03837529,6165.873,4.451225,-0.6356246,0,0,23.91256,18.08658,0,1,1161837242533961216,3.433644,0.017946,-43.69563,0.0185269,49.98932,0.0176431,11.0169,11.2774,10.5916,-100.512,1.14005,287.678,286.2308,289.4017,288.0726,286.6586,289.5062,15203509342674,2M15014922+0859222,apo25m.011+55_MGA.2M15014922+0859222,apogee.apo25m.stars.011+55_MGA.2M15014922+0859222,apogee.apo25m.synspec.011+55_MGA.2M15014922+0859222,6090.471,77.65308,32,6201.5,4.187568,0.06978825,32,4.1901,0.9884368,0,3.687483,-0.22719,0.01447031,32,0.0340583,0.01853807,32,0.3521194,Fd_b,0,0.004924142,0.04365185,0.03606601,6201.5,4.1901,-0.0050511,-0.22719,0.013172,0.1174,0.030413,0.013172,0,0.1174,32,0.04996,0.09629039,0,0.06698899,0.07033987,0,-0.34033,1.448554,288,-0.003443792,0.2294476,0,0.3396876,0.3531781,0,0.02800851,0.02413343,0,0.08673601,0.0313688,0,0.135485,0.02851512,0,-9999,0.2788417,2,-0.04673551,0.08989374,0,-0.06643708,0.07712897,0,0.037836,0.03040137,0,-9999,-9999,1,-9999,-9999,64,-0.3047794,0.3741478,0,-0.8324516,0.1552847,0,-0.007877484,0.02801062,0,-0.21986,0.01094221,0,-9999,-9999,64,-0.004439995,0.02655908,0,-9999,0.1481807,2,-9999,-9999,2,0.05729,0.03534119,0.074319,0.03484107,-0.333,1.448482,-0.00080669,0.01160948,0.041364,0.005961712,-0.03195,0.01178134,-0.14555,0.006546602,0.069672,0.01121784,-1.0093,0.01016907,-0.012338,0.01167305,-0.38112,0.007453791,0.11445,0.01098135,-0.74899,0.0155319,0.51989,0.009037145,-0.48977,0.007920985,-0.88977,0.009705823,-0.38042,0.007450772,-0.21986,0.00681058,-0.028582,0.006162224,-0.22665,0.006834764,-0.75249,0.009116743,-9999,-9999,-0.24987,0.006919104,-0.11373,0.006437702,-9999,-9999,-0.11373,0.006437702
apogee.apo25m.stars.011+55_MGA.2M15015966+1047455,apo25m.011+55_MGA.2M15015966+1047455,none,apStar-dr17-2M15015966+1047455.fits,2M15015966+1047455,apo25m,2732,011+55_MGA,225.498598,10.795996,11.2651964205207,55.2444885670671,0,0,-2147483584,-2147483136,0,0,-9999.99,9999.99,-9999.99,9999.99,manga-apogee2,5,3,639.8411,0,0,-4.066562,0.02607498,0.03330644,6278.807,4.282753,-0.8084878,0,0,23.77237,16.8214,0,1,1180168094233697536,6.378011,0.0182624,14.05297,0.0191507,9.105625,0.0176957,9.25721,9.46607,8.89265,-3.19923,0.662131,156.0728,155.675,156.4567,156.1219,155.6975,156.5019,15200061419450,2M15015966+1047455,apo25m.011+55_MGA.2M15015966+1047455,apogee.apo25m.stars.011+55_MGA.2M15015966+1047455,apogee.apo25m.synspec.011+55_MGA.2M15015966+1047455,6450.523,51.93237,0,6616.4,4.196142,0.02670495,0,4.1942,1.045228,0,8.463305,-0.20712,0.005838493,32,-0.0135507,0.01124421,0,1.533981,Fd_b,0,0.007985095,0.02022891,0.01211073,6616.4,4.1942,0.019211,-0.20712,-0.032777,0.25982,-0.017196,-0.032777,0,0.25982,32,-0.04407999,0.07629751,0,-0.034335,0.04034095,0,0.82386,0.0934986,32,0.2502029,0.1924606,0,-9999,-9999,1,-0.07459149,0.01298207,0,-0.01006399,0.01330461,0,0.112408,0.01394377,0,-9999,0.1739503,2,-0.0114145,0.04642373,0,0.1550829,0.05321415,0,-0.09453499,0.0143658,0,-0.154015,0.1296286,0,-9999,-9999,64,-0.009399444,0.2263235,0,-0.2745717,0.09586516,0,-0.08538747,0.01430893,0,-0.19604,0.005758266,0,-9999,-9999,64,-0.03685999,0.01222715,0,-9999,0.1106086,2,-9999,-9999,2,-0.033,0.009581753,-0.023255,0.009497578,0.83494,0.09331613,0.25659,0.003634144,-2.4904,0.009107854,-0.1308,0.004590752,-0.21853,0.002511892,0.050345,0.004128438,0.13997,0.002013505,0.026733,0.004187004,-0.13578,0.002386399,-0.014171,0.004289872,-0.096004,0.004498777,-0.13794,0.004609881,-0.17057,0.002438606,-0.30807,0.002651283,-0.43411,0.002856064,-0.19604,0.002477398,-0.1075,0.002344611,-0.23525,0.002537578,-0.83258,0.003477931,-9999,-9999,-0.75659,0.003359018,0.21586,0.001925721,-9999,-9999,0.21586,0.001925721
